S.no,Date & Time,Machine Name,Operator No,Operator Name,Comp. Drawing No,Comp. Description,Comp. Serial No,Program No,Revision No,Actual Part Count,Run Time,Idle Time,Disconnect Time,Alarm Time,Component Status,Operation Sequence,Planned Touch Time,Start Time,End Time,Actual Run Time,Operation Status,Alarm,Message
29,05-07-2026 11:30:49,SURIN-BFW_XTRON_3,119,SANDEEP,5101,JCB PIVOT OUTER,9,-,1,565,00:23:33,02:32:58,00:11:09,00:00:00,duplicate,N1,180,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N2,240,-,-,0,Skipped,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 11:56:15,05-07-2026 12:13:54,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N5,-,05-07-2026 12:13:54,05-07-2026 12:37:19,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N5,-,05-07-2026 12:37:19,05-07-2026 12:41:03,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N5,-,05-07-2026 12:41:03,05-07-2026 12:42:42,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N5,-,05-07-2026 12:42:42,05-07-2026 12:46:15,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N5,-,05-07-2026 12:46:15,05-07-2026 13:13:31,0,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N5,-,05-07-2026 13:13:31,05-07-2026 13:19:46,0,Unknown,-,-
,,,,,,,,,,,,,,,,N1,180,05-07-2026 13:19:46,05-07-2026 13:24:01,5,Incomplete,-,Network Off
,,,,,,,,,,,,,,,,N1,180,05-07-2026 13:24:01,05-07-2026 13:28:57,88,Rework-1,-,-
,,,,,,,,,,,,,,,,N4,-,05-07-2026 13:28:57,05-07-2026 13:29:53,57,Unknown,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 13:29:53,05-07-2026 13:38:29,53,Unknown,-,-
,,,,,,,,,,,,,,,,N1,180,05-07-2026 13:38:29,05-07-2026 13:41:34,107,Rework-2,-,-
,,,,,,,,,,,,,,,,N4,-,05-07-2026 13:41:34,05-07-2026 13:42:20,46,Unknown,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 13:42:20,05-07-2026 13:47:48,57,Unknown,-,-
,,,,,,,,,,,,,,,,N1,180,05-07-2026 13:47:48,05-07-2026 13:52:34,100,Rework-3,-,-
,,,,,,,,,,,,,,,,N4,-,05-07-2026 13:52:34,05-07-2026 13:53:32,58,Unknown,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 13:53:32,05-07-2026 14:00:02,53,Unknown,-,-
,,,,,,,,,,,,,,,,N1,180,05-07-2026 14:00:02,05-07-2026 14:02:22,93,Rework-4,-,-
,,,,,,,,,,,,,,,,N4,-,05-07-2026 14:02:22,05-07-2026 14:03:18,57,Unknown,-,-
,,,,,,,,,,,,,,,,N5,-,05-07-2026 14:03:18,05-07-2026 14:09:11,49,Unknown,-,-
,,,,,,,,,,,,,,,,N1,180,05-07-2026 14:09:11,05-07-2026 14:16:17,109,Rework-5,-,-
